church_name,address,city,state,country,latitude,longitude,hours,category_raw,category_normalized,website,phone,email,description,image_url,source_url,scraped_at
St Mary on Broadway,"538 Broadway, Providence, Rhode Island, 02909",,,,41.81756,-71.436763,"Sunday 8:00am (L), 10:00am (H); M-W, Th 7:00am, 6:30pm; Th 7:00am, Sa 9:00am",FSSP,FSSP,https://stmarypvdri.org/,,,"Sunday 8:00am (L), 10:00am (H); M-W, Th 7:00am, 6:30pm; Th 7:00am, Sa 9:00am",https://media.mapme.com/places/2449e449-4094-4752-a828-e13c3fd3db45/gallery/d22304bd-f76e-422d-8506-dd60cd601058.hd,https://www.latinmass.com/find-latin-mass,2026-05-18T15:02:38.874520
St Stanislaus,"5 Green Street, Nashua, New Hampshire, 03064",,,,42.763873,-71.469336,"<p>Sunday 7:00am, 9:00am (High), 11:00am (High); Monday, Wednesday, Friday 8:00am; Tuesday 12:10pm; Saturday 9:00am</p>",FSSP,FSSP,https://www.latinmassnashua.org/,,,"<p>Sunday 7:00am, 9:00am (High), 11:00am (High); Monday, Wednesday, Friday 8:00am; Tuesday 12:10pm; Saturday 9:00am</p>",https://media.mapme.com/places/b6d1c3fc-6e7e-44d9-86d1-614b45be9595/gallery/68e5ae1c-1b73-468c-862d-f6c6835caf6e.hd,https://www.latinmass.com/find-latin-mass,2026-05-18T15:02:38.874520
St Lawrence Chapel,"110 State Street, Harrisburg, Pennsylvania, 17101",,,,40.262824,-76.888173,"Sunday 7:30am, 9am, 10:30am, 12pm, 6pm; M, Tu, Th 7:10am; W 6:15, 7:00pm; F 7:10am, 6:30pm; Sa 9:00am",FSSP,FSSP,https://stlawrence.cc/,,,"Sunday 7:30am, 9am, 10:30am, 12pm, 6pm; M, Tu, Th 7:10am; W 6:15, 7:00pm; F 7:10am, 6:30pm; Sa 9:00am",https://media.mapme.com/places/93bac1d8-a173-43dd-8cec-e034419ba029/gallery/16f22cdc-0101-46f7-929a-7a4fa603b9f3.hd,https://www.latinmass.com/find-latin-mass,2026-05-18T15:02:38.874520
St Lucy,"949 Scranton Street, Scranton PA 18504",,,,41.41572,-75.686059,"Sunday 8:00am (L), 10:30 (H); M-Th 7:45am; F 6:00pm, Sa 9:00am",FSSP,FSSP,https://fsspscranton.org/,,,"Sunday 8:00am (L), 10:30 (H); M-Th 7:45am; F 6:00pm, Sa 9:00am",https://media.mapme.com/places/ece43365-2395-4c3c-bf71-c5cb8d6f7aa7/gallery/18c3de23-62b9-44d6-80f8-f6efc7822fc0.hd,https://www.latinmass.com/find-latin-mass,2026-05-18T15:02:38.874520
St Mary Parish,"140 West Elm Street, Conshohocken, Pennsylvania, 19428",,,,40.073128,-75.308242,"<p>Sunday 8:00am (L), 10:00am (High except during Summer), 1:00pm (L); M, Tu, Th 7:15am, W 7:15am,12:05; F 12:05pm, 6:30pm; Sa 7:15am, 9:00am</p>",FSSP,FSSP,https://www.stmarylatinmass.com/,,,"<p>Sunday 8:00am (L), 10:00am (High except during Summer), 1:00pm (L); M, Tu, Th 7:15am, W 7:15am,12:05; F 12:05pm, 6:30pm; Sa 7:15am, 9:00am</p>",https://media.mapme.com/places/ca2b0b8b-cca0-41fb-97c7-9bc55b618107/gallery/d2d176c4-0c4c-4f83-855f-6edb5a41e022.hd,https://www.latinmass.com/find-latin-mass,2026-05-18T15:02:38.874520
National Shrine of St Alphonsus Liguori,"114 West Saratoga Street, Baltimore, Maryland, 21201",,,,39.293101,-76.617737,"Sunday 7:30 (L), 9:30 (L), 11:30 (H); M, Tu 7:00am; W-F 7:00am, 12:10pm",FSSP,FSSP,https://www.stalphonsusbalt.org/,,,"Sunday 7:30 (L), 9:30 (L), 11:30 (H); M, Tu 7:00am; W-F 7:00am, 12:10pm",https://media.mapme.com/places/31f1a1ec-6cfd-41c4-a42b-751383d6771d/gallery/e771d05b-ed7e-48bd-81da-846d481f6c3a.hd,https://www.latinmass.com/find-latin-mass,2026-05-18T15:02:38.874520
St Joseph Catholic,"828 Buford Road, Richmond, Virginia, 23235",,,,37.508506,-77.55319,"<p>Sun 8:30am (Low Mass), 11:00am (High Mass), 1:30pm (Low Mass)</p>",FSSP,FSSP,https://www.stjosephrichmond.org/,,,"<p>Sun 8:30am (Low Mass), 11:00am (High Mass), 1:30pm (Low Mass)</p>",https://media.mapme.com/places/5d7997a2-175a-4407-8703-5da122cac8a3/gallery/fbfb8be5-fe1b-4fa9-9b8c-457c2a4c3002.hd,https://www.latinmass.com/find-latin-mass,2026-05-18T15:02:38.874520
St Benedict,"521 McCosh Drive, Chesapeake, Virginia, 23320",,,,36.766511,-76.264909,"<p>Sun 7:00am, 8:30am, 11:00am (High), 1:30pm; Mon 6:00am, 8:00am; Tues 6:00am, 8:00am; Wed 6:00am, 8:00am; Thurs 6:00am, 8:00am; Fri 8:00am, 7:00pm; Sat 7:00am, 9:00am</p>",FSSP,FSSP,https://www.stbenedictsparish.org/,,,"<p>Sun 7:00am, 8:30am, 11:00am (High), 1:30pm; Mon 6:00am, 8:00am; Tues 6:00am, 8:00am; Wed 6:00am, 8:00am; Thurs 6:00am, 8:00am; Fri 8:00am, 7:00pm; Sat 7:00am, 9:00am</p>",https://media.mapme.com/places/37f75eb5-3b72-4f3e-8b8f-a29f54ad739c/gallery/872cf51a-16b3-465a-af72-a01d8a627725.hd,https://www.latinmass.com/find-latin-mass,2026-05-18T15:02:38.874520
St Francis de Sales,"587 Landers Drive Mableton, Georgia 30126",,,,33.82883,-84.571483,"<p>Sunday Mass times:&nbsp;<span style=""font-size: 1rem; color: rgba(var(--v-theme-on-surface),var(--v-high-emphasis-opacity));"">8am (Low),&nbsp;</span><span style=""font-size: 1rem; color: rgba(var(--v-theme-on-surface),var(--v-high-emphasis-opacity));"">10:30am (High),&nbsp;</span><span style=""font-size: 1rem; color: rgba(var(--v-theme-on-surface),var(--v-high-emphasis-opacity));"">1:00pm Low)</span></p>",FSSP,FSSP,https://www.fsspatl.com/,,,"<p>Sunday Mass times:&nbsp;<span style=""font-size: 1rem; color: rgba(var(--v-theme-on-surface),var(--v-high-emphasis-opacity));"">8am (Low),&nbsp;</span><span style=""font-size: 1rem; color: rgba(var(--v-theme-on-surface),var(--v-high-emphasis-opacity));"">10:30am (High),&nbsp;</span><span style=""font-size: 1rem; color: rgba(var(--v-theme-on-surface),var(--v-high-emphasis-opacity));"">1:00pm Low)</span></p>",https://media.mapme.com/places/aa0c8855-8f25-4b3c-abe4-9fb7731c3d30/gallery/c71d7ce3-3304-46d4-b69e-dbedf97f1d05.hd,https://www.latinmass.com/find-latin-mass,2026-05-18T15:02:38.874520
Our Lady Queen of Peace,"6455 SW State Road 200, Ocala, Florida, 34476",,,,29.11178,-82.227067,Sunday 4:30pm,FSSP,FSSP,https://www.ocalaqueenofpeace.com/,,,Sunday 4:30pm,https://media.mapme.com/places/9fe0d69c-9aba-4a24-937e-6246dc1928eb/gallery/299651fc-0d23-49ae-ba3d-5f0c0ca1bc15.hd,https://www.latinmass.com/find-latin-mass,2026-05-18T15:02:38.874520
St Francis de Sales Mission,"4086 Frankfort Pike Georgetown, Kentucky 40324",,,,38.209797,-84.558831,"<p>Sunday 10:00, 1:30</p>",FSSP,FSSP,https://sites.google.com/a/cdlex.org/reginapacis/home?authuser=0,,,"<p>Sunday 10:00, 1:30</p>",https://media.mapme.com/places/dc536fce-ab44-4e31-8f2b-f18d7701ec33/gallery/083f0c44-ad66-49c6-9db3-2b067f2f2181.hd,https://www.latinmass.com/find-latin-mass,2026-05-18T15:02:38.874520
Holy Family Catholic,"140 South Findlay Street, Dayton, Ohio, 45403",,,,39.761863,-84.155921,"Sunday 8:00am (L); 10:30am (H); Monday, Friday 7:00pm; Tuesday-Thurdsay 12:00; Saturday 9:00am (L)",FSSP,FSSP,https://www.daytonlatinmass.org/,,,"Sunday 8:00am (L); 10:30am (H); Monday, Friday 7:00pm; Tuesday-Thurdsay 12:00; Saturday 9:00am (L)",https://media.mapme.com/places/ee4d62d4-801b-441c-9fd8-99b63f18135d/gallery/40d31e46-6630-45c5-85b2-74be1383aa89.hd,https://www.latinmass.com/find-latin-mass,2026-05-18T15:02:38.874520
